"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",1959,10th,97/100,"$20,402 "
"Chateau d'Yquem, Sauternes, France",2013,12th,97/100,$371 
"Chateau d'Yquem, Sauternes, France",1975,12th,97/100,"$1,007 "
"Chateau d'Yquem, Sauternes, France",1967,12th,97/100,"$1,645 "
"Chateau d'Yquem, Sauternes, France",1948,12th,97/100,"$2,564 "
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",2018,15th,97/100,$739 
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",2010,15th,97/100,"$1,216 "
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",2009,15th,97/100,"$1,251 "
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",2000,15th,97/100,"$1,044 "
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1990,15th,97/100,"$1,279 "
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1947,15th,97/100,"$10,824 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2016,18th,97/100,"$5,176 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2015,18th,97/100,"$5,887 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2012,18th,97/100,"$4,307 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2009,18th,97/100,"$5,418 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",2008,18th,97/100,"$4,399 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",1990,18th,97/100,"$7,316 "
"Chateau Cos d'Estournel, Saint-Estephe, France",2018,19th,97/100,$203 
"Chateau Cos d'Estournel, Saint-Estephe, France",2016,19th,97/100,$242 
"Penfolds Grange Bin 95, Australia",2010,20th,97/100,$633 
"Penfolds Grange Bin 95, Australia",1962,20th,97/100,"$3,050 "
"Chateau Montrose, Saint-Estephe, France",1990,21st,97/100,$684 
"Chateau Pichon Longueville Comtesse de Lalande, Pauillac, France",2018,23rd,97/100,$193 
"Chateau Palmer, Margaux, France",2015,24th,97/100,$388 
"Chateau Palmer, Margaux, France",1928,24th,97/100,$496 
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",2016,27th,97/100,$546 
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",2005,27th,97/100,$625 
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",1989,27th,97/100,"$1,539 "
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",1955,27th,97/100,"$2,951 "
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",1949,27th,97/100,"$3,629 "
"Chateau La Mission Haut-Brion, Pessac-Leognan, France",1945,27th,97/100,"$5,301 "
"Chateau Ducru-Beaucaillou, Saint-Julien, France",2016,29th,97/100,$257 
"Chateau Pichon-Longueville au Baron de Pichon-Longueville, Pauillac, France",2018,30th,97/100,$164 
"Chateau Angelus, Saint-Emilion Grand Cru, France",2015,33rd,97/100,$398 
"Chateau Angelus, Saint-Emilion Grand Cru, France",1961,33rd,97/100,$770 
"Masseto Toscana IGT, Tuscany, Italy",2010,35th,97/100,$878 
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2013,47th,97/100,"$3,416 "
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2012,47th,97/100,"$3,748 "
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2010,47th,97/100,"$3,860 "
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2005,47th,97/100,"$4,019 "
"Krug Vintage Brut, Champagne, France",1966,50th,97/100,"$1,154 "
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",1968,51st,97/100,"$1,911 "
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",1961,51st,97/100,$730 
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",1959,51st,97/100,$804 
"Marchesi Antinori Solaia Toscana IGT, Tuscany, Italy",2015,54th,97/100,$368 
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut, Champagne, France",1971,56th,97/100,"$4,039 "
"Harlan Estate, Napa Valley, USA",2002,60th,97/100,"$1,468 "
"Harlan Estate, Napa Valley, USA",2001,60th,97/100,"$1,279 "
"Harlan Estate, Napa Valley, USA",1994,60th,97/100,"$1,372 "
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France",2010,62nd,97/100,"$2,748 "
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France",1982,62nd,97/100,"$1,999 "
"Vieux Chateau Certan, Pomerol, France",2016,63rd,97/100,$363 
"Vieux Chateau Certan, Pomerol, France",2015,63rd,97/100,$334 
"Vieux Chateau Certan, Pomerol, France",2009,63rd,97/100,$321 
"Domaine de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits, France",2015,72nd,97/100,"$3,960 "
"Chateau Lafleur, Pomerol, France",2010,79th,97/100,"$1,635 "
"Chateau Lafleur, Pomerol, France",2009,79th,97/100,"$1,512 "
"Chateau Lafleur, Pomerol, France",2005,79th,97/100,"$1,889 "
"Chateau Lafleur, Pomerol, France",1982,79th,97/100,"$5,511 "
"Domaine de la Romanee-Conti Echezeaux Grand Cru, Cote de Nuits, France",1964,82nd,97/100,"$1,471 "
"Chateau Ausone, Saint-Emilion Grand Cru, France",2008,84th,97/100,$723 
"Chateau Ausone, Saint-Emilion Grand Cru, France",2003,84th,97/100,"$1,125 "
"Chateau Ausone, Saint-Emilion Grand Cru, France",2000,84th,97/100,"$1,512 "
"Le Pin, Pomerol, France",2004,91st,97/100,"$2,887 "
"Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits, France",1971,111th,97/100,"$2,938 "
"Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits, France",1947,111th,97/100,"$3,770 "
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2002,115th,97/100,$527 
"Chateau Trotanoy, Pomerol, France",2018,144th,97/100,$318 
"Chateau Trotanoy, Pomerol, France",2016,144th,97/100,$327 
"Chateau L'Eglise-Clinet, Pomerol, France",2010,154th,97/100,$428 
"Chateau L'Eglise-Clinet, Pomerol, France",2009,154th,97/100,$464 
"Chateau L'Eglise-Clinet, Pomerol, France",2005,154th,97/100,$532 
"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France",2002,157th,97/100,"$1,271 "
"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France",1985,157th,97/100,"$2,283 "
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",2010,158th,97/100,"$8,817 "
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",2008,158th,97/100,"$8,185 "
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",2005,158th,97/100,"$9,111 "
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",2001,158th,97/100,"$7,259 "
"Chateau Pavie Macquin, Saint-Emilion Grand Cru, France",2018,168th,97/100,$79 
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain",2009,170th,97/100,$842 
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2014,189th,97/100,$872 
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2013,189th,97/100,$907 
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2012,189th,97/100,$686 
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2007,189th,97/100,"$1,056 "
"Domaine Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France",2010,191st,97/100,"$4,518 "
"Domaine Leroy Musigny Grand Cru, Cote de Nuits, France",1992,222nd,97/100,"$16,773 "
"Louis Roederer Cristal Brut Rose Millesime, Champagne, France",1996,226th,97/100,"$1,070 "
